; 的
fgl 需
fgl 醢
fgm 栊
fgr 橛
fgr 杌
fgs 酞
fgs 椓
fgv 柘
fgy 雳
fgy 枥
fha 棫
fhb 桎
fhb 栻
fhc 框
fhe 械
fhg 桡
fhk 栋
fhk 榧
fhk 槭
fhm 栈
fhn 楷
fho 枢
fhr 枇
fhs 柩
fhs 杙
fhx 柜
fid 朴
fie 棹
fig 醵
fil 桢
fix 椒
fix 栌
fja 西
fja 覀
fjc 楫
fjc 酲
fjc 桯
fjf 栗
fji 整
fjj 露
fjj 榀
fjj 梠
fjk 剌
fjl 赖
fjm 敕
fjo 枳
fjr 柷
fjv 束
fjv 杏
fjy 酃
fjz 枵
fka 查
fkb 樘
fkc 霏
fke 覃
fkf 棵
fkg 桄
fki 雷
fki 柚
fki 柙
fkl 槛
fkl 榄
fkl 榅
fkm 醒
fkm 杪
fkq 梢
fkq 霄
fkr 棍
fkr 醌
fku 醴
fku 醭
fkv 杳
fkw 楒
fkx 档
fky 榻
fl 刺
flb 柟
fld 桐
fld 酮
flj 椆
flk 柬
fll 棘
fll 棗
flo 贾
flo 枘
flo 僰
flr 椤
flr 枧
fls 楞
flt 枣
flv 相
flx 梣
fly 桤
flz 樱
fmb 棰
fme 杵
fme 杄
fmf 酥
fmi 柞
fmi 酢
fmi 栝
fmj 酷
fmj 梏
fmk 株
fmm 橇
fmn 桥
fmo 枚
fmr 酰
fms 栴
fmu 楸
fmv 醺
fmz 梅
fmz 霉
fmz 酶
fnb 桕
fnd 榭
fne 桦
fne 榫
fne 槔
fne 椑
fne 櫆
fni 霍
fni 椎
fnj 槐
fnk 柏
fnl 棉
fnm 檄
fnm 槜
fno 楩
fnq 椴
fnr 霓
fnv 樵
fnv 醮
foa 两
foa 丙
foc 栓
fog 樊
foi 桁
fok 榆
fom 攀
fom 酴
fom 梌
foo 枞
for 覆
fou 麴
fov 检
fow 零
fow 柃
foy 枪
foy 酚
foy 邴
foz 松
foz 酗
foz 桧
foz 檎
foz 枍
fpb 霾
fpd 析
fpd 杉
fpd 酹
fpl 楯
fpn 皙
fps 柝
fpx 板
fpy 栀
fpy 桴
fqa 栅
fqd 机
fqo 枫
fqq 棚
fr 柳
fre 槲
frg 橡
frj 格
frj 酪
frj 酩
frj 枸
frk 榴
frk 橹
frk 酯
frk 栎
frk 栒
frl 桷
frm 檞
frs 檐
frs 酌
frs 柢
frs 杓
frt 柊
frv 桃
fry 雾
fry 桅
fry 雹
fry 枹
frz 构
fs 校
fsa 檀
fsb 槠
fsb 檩
fsb 橦
fsc 柱
fse 醉
fse 梓
fse 樟
fsf 榇
fsh 杧
fsj 槁
fsj 醅
fsj 棓
fsk 椋
fsk 榱
fsl 柿
fsl 醯
fsm 敷
fsn 梳
fsn 霁
fso 核
fso 雯
fsq 杭
fsr 霭
fss 榜
fsv 术
fsx 酿
fsy 醇
fsy 榔
fsy 椁
fsy 枋
fsy 雱
fsy 椸
fsz 霎
ftb 桩
ftj 榈
ftj 醣
ftu 醾
fub 栏
fub 槎
fub 柈
fuc 样
fud 樽
fue 栟
fuf 粟
fuk 椪
fur 棁
fuu 棪
fuy 梯
fuz 楼
fva 雨
fvb 榉
fvb 霪
fvf 霂
fvj 霑
fvl 霈
fvm 桫
fvn 酬
fvs 霅
fvv 杰
